"","FX rate","Inflation rate","Long-term nominal interest rate","GDP(current $)","Unemployment rate","Population"
"1999","0.938283","1.66346","4.65515","7.11621e+12","9.816667","320272154"
"2000","1.082705","2.85303","5.438875","6.49576e+12","8.883333","321324622"
"2001","1.116533","2.785165","5.0273","6.59659e+12","8.308333","322562386"
"2002","1.057559","2.465323","4.92290833333333","7.20016e+12","8.6","324141533"
"2003","0.884048","2.098472","4.16085833333333","8.86233e+12","9.175","325904835"
"2004","0.803922","2.225679","4.14079166666667","1.01604e+13","9.433333","327702192"
"2005","0.8038","2.487697","3.440875","1.05235e+13","9.275","329398861"
"2006","0.796433","2.666315","3.85951666666667","1.1184e+13","8.533334","330939600"
"2007","0.729672","2.453965","4.3317","1.28791e+13","7.633333","332660837"
"2008","0.679923","4.075343","4.356","1.41583e+13","7.691667","334290264"
"2009","0.716958","0.368042","4.02879166666667","1.29385e+13","9.658334","335377620"
"2010","0.754309","1.525516","3.78191666666667","1.26417e+13","10.28333","336171621"
"2011","0.718414","3.289449","4.31100833333333","1.36379e+13","10.29167","335442349"
"2012","0.778338","2.485676","3.04785","1.26388e+13","11.5","336183135"
"2013","0.752945","1.219993","3.01184166666667","1.31963e+13","12.15833","337328817"
"2014","0.752728","0.2410474","2.28166666666667","1.35101e+13","11.73333","338486932"
"2015","0.901296","0.03751438","1.26923333333333","1.16755e+13","10.975","339514675"
"2016","0.903421","0.1833349","0.929416666666667","1.19737e+13","10.10833","340509447"
"2017","0.885206","1.381459","1.17044166666667","1.26797e+13","9.133333","341246081"
"2018","0.846773","1.703498","1.26473333333333","1.36982e+13","8.233334","342065158"
"2019","0.893276","1.445667","0.58445","1.34182e+13","7.6","342452734"
"2020","0.875506","0.2905546","0.213241666666667","1.30855e+13","7.941667","342913447"
"2021","0.845494","2.446089","0.199883333333333","1.45633e+13","7.733333","343067846"
